good,good,18/18
color,color,6/7
good,good,18/18
scratch,scratch,18/20
good,good,18/18
liquid,liquid,6/9
good,good,18/18
hole,hole,2/9
good,good,14/19
broken_large,broken_large,18/19
good,good,10/19
broken_small,broken_small,21/21
good,good,8/19
contamination,contamination,16/20
good,good,11/57
bent_wire,bent_wire,9/12
good,good,11/57
cable_swap,cable_swap,11/11
good,good,11/57
cut_inner_insulation,cut_inner_insulation,11/13
good,good,11/57
cut_outer_insulation,cut_outer_insulation,7/9
good,good,11/57
missing_cable,missing_cable,11/11
good,good,11/57
missing_wire,missing_wire,7/9
good,good,11/57
poke_insulation,poke_insulation,7/9
good,good,22/22
crack,crack,4/22
good,good,22/22
faulty_imprint,faulty_imprint,0/21
good,good,22/22
poke,poke,1/20
good,good,22/22
scratch,scratch,1/22
good,good,22/22
squeeze,squeeze,1/19
good,good,27/27
color,color,7/18
good,good,27/27
cut,cut,11/16
good,good,27/27
hole,hole,12/16
good,good,27/27
metal_contamination,metal_contamination,1/16
good,good,27/27
thread,thread,7/18
good,good,20/20
bent,bent,4/11
good,good,20/20
broken,broken,6/11
good,good,20/20
glue,glue,4/10
good,good,20/20
metal_contamination,metal_contamination,4/10
good,good,20/20
thread,thread,5/10
good,good,6/39
crack,crack,17/17
good,good,7/39
cut,cut,15/16
good,good,5/39
hole,hole,17/17
good,good,4/39
print,print,14/16
good,good,31/31
color,color,2/18
good,good,31/31
cut,cut,9/18
good,good,31/31
fold,fold,8/16
good,good,31/31
glue,glue,2/18
good,good,31/31
poke,poke,9/17
good,good,6/21
bent,bent,24/24
good,good,4/21
color,color,21/21
good,good,3/21
flip,flip,22/22
good,good,8/21
scratch,scratch,21/22
good,good,10/25
color,color,16/24
good,good,14/25
contamination,contamination,19/20
good,good,15/25
crack,crack,17/25
good,good,22/25
faulty_imprint,faulty_imprint,16/18
good,good,11/25
scratch,scratch,21/23
good,good,15/25
pill_type,pill_type,8/8
good,good,37/40
manipulated_front,manipulated_front,10/23
good,good,36/40
scratch_head,scratch_head,3/23
good,good,36/40
scratch_neck,scratch_neck,4/24
good,good,39/40
thread_side,thread_side,1/22
good,good,40/40
thread_top,thread_top,5/22
good,good,10/32
crack,crack,16/16
good,good,13/32
glue_strip,glue_strip,17/17
good,good,10/32
gray_stroke,gray_stroke,15/15
good,good,11/32
oil,oil,17/17
good,good,11/32
rough,rough,11/14
good,good,2/11
defective,defective,26/29
good,good,58/59
bent_lead,bent_lead,0/9
good,good,58/59
cut_lead,cut_lead,1/9
good,good,58/59
damaged_case,damaged_case,3/9
good,good,59/59
misplaced,misplaced,1/9
good,good,31/31
broken_teeth,broken_teeth,4/18
good,good,31/31
fabric_border,fabric_border,8/16
good,good,31/31
fabric_interior,fabric_interior,0/15
good,good,31/31
rough,rough,7/16
good,good,31/31
split_teeth,split_teeth,0/17
good,good,31/31
squeezed_teeth,squeezed_teeth,1/15
